fichier,ligne,chaine,cle_suggeree
autoload/sim.gd,20,▶ lent,T_SIM_LENT
autoload/sim.gd,20,▶▶ normal,T_SIM_NORMAL
autoload/sim.gd,20,▶▶▶ rapide,T_SIM_RAPIDE
ui/age_recap.gd,108,Plus tard,T_AGE_RECAP_PLUS_TARD
ui/age_recap.gd,111,Engager l'âge suivant,T_AGE_RECAP_ENGAGER_L_AGE_SUIVANT
ui/age_recap.gd,146,l'aube du règne,T_AGE_RECAP_L_AUBE_DU_REGNE
ui/age_recap.gd,148,L'âge de %s s'achève,T_AGE_RECAP_L_AGE_DE_S
ui/age_recap.gd,150,L'aube du règne s'achève,T_AGE_RECAP_L_AUBE_DU_REGNE
ui/age_recap.gd,157,"Ainsi passa %s pour %s, dit %s. L'âge de %s se lève.",T_AGE_RECAP_AINSI_PASSA_S_POUR
ui/age_recap.gd,159,Bilan : %s âmes · %s or · %d province(s) · savoir %d,T_AGE_RECAP_BILAN_S_AMES_S
ui/age_recap.gd,166,Cet âge n'a rien laissé aux Annales. Les chroniqueurs ont dormi.,T_AGE_RECAP_CET_AGE_N_A
ui/alerts.gd,38,GUERRE — {a} entre en guerre contre nous (an {y}),T_ALERTS_GUERRE_A_ENTRE_EN
ui/alerts.gd,39,PAIX signée avec {a} (an {y}),T_ALERTS_PAIX_SIGNEE_AVEC_A
ui/alerts.gd,40,Une place est TOMBÉE — {a} occupe la région {r} (an {y}),T_ALERTS_UNE_PLACE_EST_TOMBEE
ui/alerts.gd,41,Région {r} REPRISE par nos armes (an {y}),T_ALERTS_REGION_R_REPRISE_PAR
ui/alerts.gd,42,PILLAGE — la région {r} a été mise à sac (an {y}),T_ALERTS_PILLAGE_LA_REGION_R
ui/alerts.gd,43,RÉVOLTE — un soulèvement éclate en région {r} (an {y}),T_ALERTS_REVOLTE_UN_SOULEVEMENT_ECLATE
ui/alerts.gd,43,Rebelles de X,T_ALERTS_REBELLES_DE_X
ui/alerts.gd,44,SÉCESSION — {a} proclame son indépendance (an {y}),T_ALERTS_SECESSION_A_PROCLAME_SON
ui/alerts.gd,45,BATAILLE GAGNÉE contre {b} en région {r} (an {y}),T_ALERTS_BATAILLE_GAGNEE_CONTRE_B
ui/alerts.gd,46,"BATAILLE PERDUE contre {b} — l'ost est brisé (région {r}, an {y})",T_ALERTS_BATAILLE_PERDUE_CONTRE_B
ui/alerts.gd,47,{label} — région {r} (an {y}),T_ALERTS_LABEL_REGION_R_AN
ui/alerts.gd,115,guerre GAGNÉE,T_ALERTS_GUERRE_GAGNEE
ui/alerts.gd,115,guerre PERDUE,T_ALERTS_GUERRE_PERDUE
ui/alerts.gd,115,paix blanche,T_ALERTS_PAIX_BLANCHE
ui/alerts.gd,116, — %s (score %+d),T_ALERTS_S_SCORE_D
ui/alerts.gd,126,  (clic : acquitter),T_ALERTS_CLIC_ACQUITTER
ui/alerts.gd,137,LA GUERRE !,T_ALERTS_LA_GUERRE
ui/alerts.gd,138,Voir la diplomatie,T_ALERTS_VOIR_LA_DIPLOMATIE
ui/alerts.gd,139,Lever l'ost,T_ALERTS_LEVER_L_OST
ui/alerts.gd,141,LA PAIX EST SIGNÉE,T_ALERTS_LA_PAIX_EST_SIGNEE
ui/alerts.gd,145,RÉVOLTE !,T_ALERTS_REVOLTE
ui/alerts.gd,146,Y aller,T_ALERTS_Y_ALLER
ui/alerts.gd,147,Réprimer,T_ALERTS_REPRIMER
ui/alerts.gd,149,SÉCESSION !,T_ALERTS_SECESSION
ui/alerts.gd,152,Évènement,T_ALERTS_EVENEMENT
ui/alerts.gd,154,Y aller,T_ALERTS_Y_ALLER
ui/alerts.gd,175,%d siège(s) du conseil VACANT(S) — recruter un candidat (clic : onglet Conseil),T_ALERTS_D_SIEGE_S_DU
ui/alerts.gd,181,Un âge s'est levé : %s — clic pour l'ENGAGER (une fois par âge),T_ALERTS_UN_AGE_S_EST
ui/alerts.gd,186,Aucune RECHERCHE en cours — clic : choisir une cible dans l'arbre,T_ALERTS_AUCUNE_RECHERCHE_EN_COURS
ui/alerts.gd,193,"Un ÉDIFICE est constructible (ex. %s, %d or) — clic : panneau Construction",T_ALERTS_UN_EDIFICE_EST_CONSTRUCTIBLE
ui/alerts.gd,205,EN GUERRE et levée à ZÉRO — clic : monter la levée (onglet Armée),T_ALERTS_EN_GUERRE_ET_LEVEE
ui/alerts.gd,208,EN GUERRE sans armée de campagne — clic : onglet Armée (puis « Attaquer ici » sur la cible),T_ALERTS_EN_GUERRE_SANS_ARMEE
ui/alerts.gd,212,Votre peuple a bâti son premier sanctuaire — clic : FONDER la foi,T_ALERTS_VOTRE_PEUPLE_A_BATI
ui/alerts.gd,219,"La région %d GRONDE (agitation %d) — réprimer, assimiler ou apaiser (clic : y aller)",T_ALERTS_LA_REGION_D_GRONDE
ui/alerts.gd,223,"FAMINE — la région %d ne mange qu'à %d %% (greniers, import, colonie vivrière) (clic : y aller)",T_ALERTS_FAMINE_LA_REGION_D
ui/alerts.gd,227,SIÈGE — %s assiège notre région %d ! Lever l'ost (clic : y aller),T_ALERTS_SIEGE_S_ASSIEGE_NOTRE
ui/alerts.gd,230,PRIX EXORBITANT — %s à ×%.1f de l'ancre au marché (clic : onglet Marché),T_ALERTS_PRIX_EXORBITANT_S_A
ui/alerts.gd,233,BIEN INTROUVABLE — %s est demandé mais ni produit ni en stock (clic : onglet Marché),T_ALERTS_BIEN_INTROUVABLE_S_EST
ui/alerts.gd,243,Métabolisation : %s prête (clic : voir l'arbre),T_ALERTS_METABOLISATION_S_PRETE_CLIC
ui/battle_panel.gd,102,%s hommes,T_BATTLE_S_HOMMES
ui/battle_panel.gd,109,DÉFENSEUR,T_BATTLE_DEFENSEUR
ui/battle_panel.gd,113,%s hommes,T_BATTLE_S_HOMMES
ui/battle_panel.gd,121,PERTES DE CHOC,T_BATTLE_PERTES_DE_CHOC
ui/battle_panel.gd,124,%s hommes,T_BATTLE_S_HOMMES
ui/battle_panel.gd,125,Défenseur,T_BATTLE_DEFENSEUR
ui/battle_panel.gd,125,%s hommes,T_BATTLE_S_HOMMES
ui/battle_panel.gd,129,SCORE DE GUERRE,T_BATTLE_SCORE_DE_GUERRE
ui/battle_panel.gd,133,%+.0f (%s),T_BATTLE_0F_S
ui/chronique.gd,38,Les Annales du Règne,T_CHRONIQUE_LES_ANNALES_DU_REGNE
ui/chronique.gd,78,(moteur des Annales absent),T_CHRONIQUE_MOTEUR_DES_ANNALES_ABSENT
ui/chronique.gd,85,"Règne de %s, dit %s",T_CHRONIQUE_REGNE_DE_S_DIT
ui/chronique.gd,89,Le règne n'a encore rien à raconter.,T_CHRONIQUE_LE_REGNE_N_A
ui/chronique.gd,91,%d fait(s) retenu(s) — le panthéon du règne.,T_CHRONIQUE_D_FAIT_S_RETENU
ui/codex.gd,13,Empire & Économie,T_CODEX_EMPIRE_ECONOMIE
ui/codex.gd,14,Bâtir un édifice,T_CODEX_BATIR_UN_EDIFICE
ui/codex.gd,14,Panneau Construction (bouton depuis la province ou l'onglet Constructions) · touche via le panneau province,T_CODEX_PANNEAU_CONSTRUCTION_BOUTON_DEPUIS
ui/codex.gd,14,"coûts en matières + or, réels (roster scps_building_roster) ; grisé si illégal (tech/région/or)",T_CODEX_COUTS_EN_MATIERES_OR
ui/codex.gd,15,Bâtir une manufacture (Panneau B),T_CODEX_BATIR_UNE_MANUFACTURE_PANNEAU
ui/codex.gd,15,"Détail province · onglet Main-d'œuvre, section « Bâtir une manufacture »",T_CODEX_DETAIL_PROVINCE_ONGLET_MAIN
ui/codex.gd,15,gate miroir de l'IA civile : staffage/tier/intrant/slot libre/or ; un seul chantier du même type à la fois,T_CODEX_GATE_MIROIR_DE_L
ui/codex.gd,16,Recruter une unité,T_CODEX_RECRUTER_UNE_UNITE
ui/codex.gd,16,Panneau Construction (bouton depuis la province),T_CODEX_PANNEAU_CONSTRUCTION_BOUTON_DEPUIS
ui/codex.gd,16,"roster 22 unités, gate technologique (7/22 gatées, 15 libres day-1) + or + armes en stock",T_CODEX_ROSTER_22_UNITES_GATE
ui/codex.gd,17,Régler la levée (postes vacants),T_CODEX_REGLER_LA_LEVEE_POSTES
ui/codex.gd,17,Tiroir Armée (sidebar),T_CODEX_TIROIR_ARMEE_SIDEBAR
ui/codex.gd,17,curseur de niveau de levée — influence le rythme de recrutement IA-like du joueur,T_CODEX_CURSEUR_DE_NIVEAU_DE
ui/codex.gd,18,Rechercher une technologie,T_CODEX_RECHERCHER_UNE_TECHNOLOGIE
ui/codex.gd,18,"Arbre de tech Medusa (bouton Tech, topbar)",T_CODEX_ARBRE_DE_TECH_MEDUSA
ui/codex.gd,18,coût ∝ √N-provinces × biais d'éthos ÷ remise de diffusion (le prix affiché = le prix payé),T_CODEX_COUT_N_PROVINCES_BIAIS
ui/codex.gd,19,Allouer la main-d'œuvre (puits par région),T_CODEX_ALLOUER_LA_MAIN_D
ui/codex.gd,19,Détail province · onglet Main-d'œuvre,T_CODEX_DETAIL_PROVINCE_ONGLET_MAIN
ui/codex.gd,19,"override du split AUTO : poids par ressource/bâtiment, fermeture, choix d'intrant, retour Auto",T_CODEX_OVERRIDE_DU_SPLIT_AUTO
ui/codex.gd,20,Réincorporer de la population (transfert entre régions),T_CODEX_REINCORPORER_DE_LA_POPULATION
ui/codex.gd,20,"Détail province · onglet Peuples, section Réincorporation",T_CODEX_DETAIL_PROVINCE_ONGLET_PEUPLES
ui/codex.gd,20,"classe choisie, coercition à la source pour les libres ; les esclaves sont exemptés (propriété déplacée, pas réprimée)",T_CODEX_CLASSE_CHOISIE_COERCITION_A
ui/codex.gd,21,Acheter / vendre sur le marché (Centres),T_CODEX_ACHETER_VENDRE_SUR_LE
ui/codex.gd,21,"Tiroir Marché (sidebar), depuis la capitale",T_CODEX_TIROIR_MARCHE_SIDEBAR_DEPUIS
ui/codex.gd,21,"prix national réel, marge de distance au Centre le plus proche",T_CODEX_PRIX_NATIONAL_REEL_MARGE
ui/codex.gd,22,Ouvrir / router une route commerciale,T_CODEX_OUVRIR_ROUTER_UNE_ROUTE
ui/codex.gd,22,Panneau province (chips « Route terre » / « Route mer »),T_CODEX_PANNEAU_PROVINCE_CHIPS_ROUTE
ui/codex.gd,22,"gate : deux ports + deux marchés + (pacte ou même empire) ; le rendement décroît avec la distance, jamais nul",T_CODEX_GATE_DEUX_PORTS_DEUX
ui/codex.gd,23,Recompléter l'armée / Dissoudre l'armée,T_CODEX_RECOMPLETER_L_ARMEE_DISSOUDRE
ui/codex.gd,23,Tiroir Armée (sidebar),T_CODEX_TIROIR_ARMEE_SIDEBAR
ui/codex.gd,23,"recompléter paie or+matière ; dissoudre libère la pop MAIS ne rend PAS les armes (asymétrie connue, cf. rapport)",T_CODEX_RECOMPLETER_PAIE_OR_MATIERE
ui/codex.gd,24,Mettre une coque en chantier (marine),T_CODEX_METTRE_UNE_COQUE_EN
ui/codex.gd,24,"Tiroir Armée (sidebar), section Flotte",T_CODEX_TIROIR_ARMEE_SIDEBAR_SECTION
ui/codex.gd,24,coût en cuivre (depuis le retrait du métal) ; nécessite un port,T_CODEX_COUT_EN_CUIVRE_DEPUIS
ui/codex.gd,25,Changer de posture militaire,T_CODEX_CHANGER_DE_POSTURE_MILITAIRE
ui/codex.gd,25,Tiroir Armée (sidebar),T_CODEX_TIROIR_ARMEE_SIDEBAR
ui/codex.gd,25,3 chips (défensive/neutre/offensive) — pèse sur l'agressivité/les gates IA miroir,T_CODEX_3_CHIPS_DEFENSIVE_NEUTRE
ui/codex.gd,26,Lancer une campagne (attaquer une région),T_CODEX_LANCER_UNE_CAMPAGNE_ATTAQUER
ui/codex.gd,26,"Panneau province (chip « Attaquer ici », depuis une région ennemie voisine)",T_CODEX_PANNEAU_PROVINCE_CHIP_ATTAQUER
ui/codex.gd,26,"revalidé au drain : région à soi comme origine, chemin BFS existant — silencieux si échoue",T_CODEX_REVALIDE_AU_DRAIN_REGION
ui/codex.gd,29,Réprimer une région (agitation),T_CODEX_REPRIMER_UNE_REGION_AGITATION
ui/codex.gd,29,Panneau province (chip « Réprimer »),T_CODEX_PANNEAU_PROVINCE_CHIP_REPRIMER
ui/codex.gd,29,fait baisser l'agitation au prix de la légitimité/coercition,T_CODEX_FAIT_BAISSER_L_AGITATION
ui/codex.gd,30,Assimiler (creuset culturel),T_CODEX_ASSIMILER_CREUSET_CULTUREL
ui/codex.gd,30,Panneau province (chip « Assimiler »),T_CODEX_PANNEAU_PROVINCE_CHIP_ASSIMILER
ui/codex.gd,30,pousse la région vers la culture dominante de l'empire,T_CODEX_POUSSE_LA_REGION_VERS
ui/codex.gd,31,Purger une minorité,T_CODEX_PURGER_UNE_MINORITE
ui/codex.gd,31,Panneau province (chip « Purger »),T_CODEX_PANNEAU_PROVINCE_CHIP_PURGER
ui/codex.gd,31,"réduit une minorité ciblée ; coût en légitimité, jamais une strate esclave (exemptée)",T_CODEX_REDUIT_UNE_MINORITE_CIBLEE
ui/codex.gd,32,Coloniser une province vierge,T_CODEX_COLONISER_UNE_PROVINCE_VIERGE
ui/codex.gd,32,"Panneau province (bouton « Coloniser », sur une province colonisable)",T_CODEX_PANNEAU_PROVINCE_BOUTON_COLONISER
ui/codex.gd,32,durée 360-1080 j selon distance à la frontière ; 1 ordre/an (cadence liée à la personnalité IA-like),T_CODEX_DUREE_360_1080_J
ui/codex.gd,33,Proposer un pacte migratoire,T_CODEX_PROPOSER_UN_PACTE_MIGRATOIRE
ui/codex.gd,33,Fenêtre diplomatique par pays (bouton « Migration »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,33,échange passif de population avec un allié d'un autre héritage ; le vis-à-vis évalue via l'opinion,T_CODEX_ECHANGE_PASSIF_DE_POPULATION
ui/codex.gd,34,Affranchir les esclaves du pays,T_CODEX_AFFRANCHIR_LES_ESCLAVES_DU
ui/codex.gd,34,"Tiroir Conseil (sidebar), section « Peuple servile » — aperçu (âmes/friction) puis confirmation en 2 clics",T_CODEX_TIROIR_CONSEIL_SIDEBAR_SECTION
ui/codex.gd,34,"granularité PAYS (une politique, pas une province) ; bascule klass→Laboureur ; irréversible",T_CODEX_GRANULARITE_PAYS_UNE_POLITIQUE
ui/codex.gd,35,Acheter / vendre au marché servile (Centres),T_CODEX_ACHETER_VENDRE_AU_MARCHE
ui/codex.gd,35,"Tiroir Conseil (sidebar), section « Peuple servile » — quantités 50/200",T_CODEX_TIROIR_CONSEIL_SIDEBAR_SECTION
ui/codex.gd,35,"achat gaté éthos/tech (miroir de la capture de guerre, grisé avec le mot) ; vente libre (on vend ce qu'on tient déjà)",T_CODEX_ACHAT_GATE_ETHOS_TECH
ui/codex.gd,36,Choisir dans un évènement (décision membrane),T_CODEX_CHOISIR_DANS_UN_EVENEMENT
ui/codex.gd,36,"Boîte de dialogue d'évènement (pause automatique, distincte du popup Oyez Oyez)",T_CODEX_BOITE_DE_DIALOGUE_D
ui/codex.gd,36,rien n'est appliqué tant que le choix n'est pas fait ; options bornées par l'évènement,T_CODEX_RIEN_N_EST_APPLIQUE
ui/codex.gd,38,Diplomatie & Guerre,T_CODEX_DIPLOMATIE_GUERRE
ui/codex.gd,39,Déclarer la guerre,T_CODEX_DECLARER_LA_GUERRE
ui/codex.gd,39,Fenêtre diplomatique par pays (bouton « Guerre »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,39,exige un casus belli utilisable : gratuit (défense/anti-piraterie/subjugation) ou une revendication payante MÛRIE,T_CODEX_EXIGE_UN_CASUS_BELLI
ui/codex.gd,40,Fabriquer une revendication (CB payant),T_CODEX_FABRIQUER_UNE_REVENDICATION_CB
ui/codex.gd,40,Fenêtre diplomatique par pays (bouton « Fabriquer une revendication »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,40,coûte 2 ans de revenu de la cible ; mûrit en 1 an ; reste valable 5 ans une fois prête,T_CODEX_COUTE_2_ANS_DE
ui/codex.gd,41,Proposer la paix (blanche),T_CODEX_PROPOSER_LA_PAIX_BLANCHE
ui/codex.gd,41,Fenêtre diplomatique par pays (bouton « Paix »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,41,le vis-à-vis évalue l'offre (opinion + score de guerre) — peut refuser,T_CODEX_LE_VIS_A_VIS
ui/codex.gd,42,Proposer une alliance,T_CODEX_PROPOSER_UNE_ALLIANCE
ui/codex.gd,42,Fenêtre diplomatique par pays (bouton « Allier »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,42,"consentement bilatéral requis (ai_consider_offer, opinion ±100)",T_CODEX_CONSENTEMENT_BILATERAL_REQUIS_AI
ui/codex.gd,43,Proposer un pacte (non-agression),T_CODEX_PROPOSER_UN_PACTE_NON
ui/codex.gd,43,Fenêtre diplomatique par pays (bouton « Pacte »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,43,"consentement requis, coût d'opinion plus faible que l'alliance",T_CODEX_CONSENTEMENT_REQUIS_COUT_D
ui/codex.gd,44,Imposer / lever un embargo,T_CODEX_IMPOSER_LEVER_UN_EMBARGO
ui/codex.gd,44,Fenêtre diplomatique par pays (bouton « Embargo »),T_CODEX_FENETRE_DIPLOMATIQUE_PAR_PAYS
ui/codex.gd,44,unilatéral (pas de consentement) ; pèse sur l'opinion à la baisse,T_CODEX_UNILATERAL_PAS_DE_CONSENTEMENT
ui/codex.gd,45,Engager conseillers du Conseil (recrutement de siège),T_CODEX_ENGAGER_CONSEILLERS_DU_CONSEIL
ui/codex.gd,45,"Tiroir Conseil (sidebar), un candidat par siège",T_CODEX_TIROIR_CONSEIL_SIDEBAR_UN
ui/codex.gd,45,le choix éclairé — chaque candidat a ses propres multiplicateurs,T_CODEX_LE_CHOIX_ECLAIRE_CHAQUE
ui/codex.gd,46,Démettre un conseiller,T_CODEX_DEMETTRE_UN_CONSEILLER
ui/codex.gd,46,Tiroir Conseil (sidebar),T_CODEX_TIROIR_CONSEIL_SIDEBAR
ui/codex.gd,46,"libère le siège, perd les multiplicateurs du titulaire",T_CODEX_LIBERE_LE_SIEGE_PERD
ui/codex.gd,47,Régler la paie d'un siège du Conseil,T_CODEX_REGLER_LA_PAIE_D
ui/codex.gd,47,**(bientôt)** aucun curseur Godot — verbe façade seul (scps_player_council_pay),T_CODEX_BIENTOT_AUCUN_CURSEUR_GODOT
ui/codex.gd,47,curseur 0×-2× ; un siège mal payé perd en efficacité/loyauté,T_CODEX_CURSEUR_0_2_UN
ui/codex.gd,48,Activer / désactiver un décret (civics),T_CODEX_ACTIVER_DESACTIVER_UN_DECRET
ui/codex.gd,48,Tiroir Conseil ou Économie (section Décrets),T_CODEX_TIROIR_CONSEIL_OU_ECONOMIE
ui/codex.gd,48,une réforme active refuse le retrait ; condition d'entrée vérifiée à l'activation,T_CODEX_UNE_REFORME_ACTIVE_REFUSE
ui/codex.gd,49,Engager l'âge courant,T_CODEX_ENGAGER_L_AGE_COURANT
ui/codex.gd,49,Chip topbar « Engager : <âge> » → écran de récap d'âge,T_CODEX_CHIP_TOPBAR_ENGAGER_AGE
ui/codex.gd,49,l'IA s'engage automatiquement ; le joueur choisit son moment — une fois par âge,T_CODEX_L_IA_S_ENGAGE
ui/codex.gd,51,Foi & Savoir,T_CODEX_FOI_SAVOIR
ui/codex.gd,52,Fonder / rallier une religion,T_CODEX_FONDER_RALLIER_UNE_RELIGION
ui/codex.gd,52,Créateur de foi (s'ouvre seul au 1er édifice religieux bâti),T_CODEX_CREATEUR_DE_FOI_S
ui/codex.gd,52,"sous le plafond mondial (⌈empires/3⌉ racines) : au-delà, on RALLIE une foi existante au lieu d'en fonder une",T_CODEX_SOUS_LE_PLAFOND_MONDIAL
ui/codex.gd,53,Provoquer un schisme,T_CODEX_PROVOQUER_UN_SCHISME
ui/codex.gd,53,Panneau Religion (si rouvert),T_CODEX_PANNEAU_RELIGION_SI_ROUVERT
ui/codex.gd,53,plafonné à 2 sectes par racine ; grisé au plafond,T_CODEX_PLAFONNE_A_2_SECTES
ui/codex.gd,54,Composer sa culture (héritage/éthos/traditions),T_CODEX_COMPOSER_SA_CULTURE_HERITAGE
ui/codex.gd,54,"Créateur de culture, écran Nouvelle Partie SEULEMENT (avant la genèse)",T_CODEX_CREATEUR_DE_CULTURE_ECRAN
ui/codex.gd,54,1 héritage + 1 éthos + 3 traditions (une par axe) ; fige le pays du joueur à la régénération,T_CODEX_1_HERITAGE_1_ETHOS
